sentence,label
The movie was engaging.,2
I'm satisfied with the outcome.,2
The food was absolutely delicious!,2
The lecture was uninspiring.,0
I'm indifferent towards his remarks.,1
The hotel was a disappointment.,0
The concert was electrifying!,2
I'm feeling optimistic about the future.,2
The food was terrible.,0
The play was boring.,0
I'm ambivalent about the decision.,1
The presentation was excellent.,2
The service was exceptional.,2
I'm indifferent towards her comments.,1
The weather is beautiful.,2
The food was outstanding.,2
I'm ecstatic about the results!,2
The play was phenomenal!,2
I'm satisfied with the service.,2
The food was amazing!,2
I'm indifferent to her attitude.,1
The traffic was frustrating.,0
The movie was boring.,0
I'm feeling indifferent about this matter.,1
The concert was spectacular!,2
The hotel was awful.,0
The movie was captivating!,2
I'm thrilled with his performance.,2
The weather is perfect.,2
I'm indifferent towards their complaints.,1
The food was excellent!,2
The party was fantastic!,2
I'm unsatisfied with the quality.,0
The presentation was dreadful.,0
I'm indifferent to the situation.,1
The book was fascinating.,2
The traffic was unbearable.,0
I'm ecstatic about the news.,2
The concert was amazing!,2
I'm indifferent to his proposal.,1
The hotel was disappointing.,0
I'm thrilled with the results.,2
The movie was enjoyable.,2
I'm feeling optimistic about the outcome.,2
The food was awful.,0
The lecture was informative.,1
I'm ambivalent about attending the event.,1
The service at the restaurant was terrible.,0
The beach was crowded.,0
I'm ecstatic about the news.,2
The food was mediocre.,0
I'm indifferent to his proposal.,1
The weather is perfect for a picnic.,2
I'm disappointed with the quality.,0
The performance was lackluster.,0
I'm indifferent towards his attitude.,1
The play was superb!,2
The dinner was delicious.,2
I'm feeling indifferent about the situation.,1
The movie was thrilling!,2
I'm okay with the decision.,1
The traffic was unbearable.,0
The book was disappointing.,0
I'm ambivalent about the decision.,1
The presentation was excellent.,2
The service was outstanding.,2
I'm indifferent towards her comments.,1
The weather is beautiful.,2
The food was terrible.,0
I'm ecstatic about the results!,2
The play was phenomenal!,2
I'm satisfied with the service.,2
The food was amazing!,2
I'm indifferent to her attitude.,1
The traffic was frustrating.,0
The movie was boring.,0
I'm feeling indifferent about this matter.,1
The concert was spectacular!,2
The hotel was awful.,0
The movie was captivating!,2
I'm thrilled with his performance.,2
The weather is perfect.,2
I'm indifferent towards their complaints.,1
The food was excellent!,2
The party was fantastic!,2
I'm unsatisfied with the quality.,0
The presentation was dreadful.,0
I'm indifferent to the situation.,1
The book was fascinating.,2
The traffic was unbearable.,0
I'm ecstatic about the news.,2
The concert was amazing!,2
I'm indifferent to his proposal.,1
The hotel was disappointing.,0
I'm thrilled with the results.,2
The movie was enjoyable.,2
I'm feeling optimistic about the outcome.,2
The food was awful.,0
The lecture was informative.,1
I'm ambivalent about attending the event.,1
The service at the restaurant was terrible.,0
The beach was crowded.,0
I'm ecstatic about the news.,2
The food was mediocre.,0
I'm indifferent to his proposal.,1
The weather is perfect for a picnic.,2
I'm disappointed with the quality.,0
The performance was lackluster.,0
I'm indifferent towards his attitude.,1
The play was superb!,2
The dinner was delicious.,2
I'm feeling indifferent about the situation.,1
The movie was thrilling!,2
I'm okay with the decision.,1
The traffic was unbearable.,0
The book was disappointing.,0
I'm ambivalent about the decision.,1
The presentation was excellent.,2
The service was outstanding.,2
I'm indifferent towards her comments.,1
The weather is beautiful.,2
The food was terrible.,0
I'm ecstatic about the results!,2
The play was phenomenal!,2
I'm satisfied with the service.,2
The food was amazing!,2
I'm indifferent to her attitude.,1
The traffic was frustrating.,0
The movie was boring.,0
I'm feeling indifferent about this matter.,1
The concert was spectacular!,2
The hotel was awful.,0
The movie was captivating!,2
I'm thrilled with his performance.,2
The weather is perfect.,2
I'm indifferent towards their complaints.,1
The food was excellent!,2
The party was fantastic!,2
I'm unsatisfied with the quality.,0
The presentation was dreadful.,0
I'm indifferent to the situation.,1
The book was fascinating.,2
The traffic was unbearable.,0
I'm ecstatic about the news.,2
The concert was amazing!,2
I'm indifferent to his proposal.,1
The hotel was disappointing.,0
I'm thrilled with the results.,2
The movie was enjoyable.,2
I'm overjoyed with the results!,2
The traffic was horrendous.,0
I'm feeling indifferent towards his attitude.,1
The play was enthralling!,2
The food was subpar.,0
I'm excited for the weekend.,2
The service at the cafe was exceptional.,2
I'm feeling uncertain about the outcome.,1
The sunset was absolutely stunning!,2
The presentation was lackluster.,0
I'm thrilled about the opportunity.,2
The food at the party was mediocre.,0
The movie was captivating!,2
I'm feeling indifferent towards the situation.,1
The weather is gloomy and depressing.,0
The concert was breathtaking!,2
I'm disappointed with the experience.,0
The traffic was surprisingly light.,2
I'm indifferent to her comments.,1
The service at the hotel was appalling.,0
The book was captivating and insightful.,2
I'm satisfied with my progress.,2
The food was below average.,0
The movie was a rollercoaster of emotions.,2
I'm feeling ambivalent about the decision.,1
The weather is perfect for a stroll.,2
The service at the restaurant was excellent.,2
I'm ecstatic about the news!,2
The play was mind-blowing!,2
I'm indifferent to his suggestion.,1
The food was divine!,2
The traffic was unbearable.,0
I'm indifferent to the latest developments.,1
The movie was a complete waste of time.,0
I'm excited to see what the future holds!,2
The concert was phenomenal!,2
I'm feeling indifferent towards her reaction.,1
The hotel was a pleasant surprise.,2
The food was atrocious.,0
The lecture was engaging and informative.,2
I'm satisfied with the service provided.,2
The play was dreadful.,0
The weather is pleasant and sunny.,2
The traffic was infuriating.,0
I'm indifferent to his remarks.,1
The movie was a masterpiece of storytelling.,2
The food was exquisite!,2
I'm ecstatic about the results.,2
The concert was awe-inspiring!,2
I'm indifferent to his complaints.,1
The book was disappointing and lackluster.,0
I'm thrilled with her performance.,2
The weather is unpredictable.,0
The food was absolutely delicious!,2
I'm feeling indifferent about attending the event.,1
The party was a blast!,2
The presentation was mediocre.,0
I'm ambivalent about his proposal.,1
The traffic was backed up for miles.,0
I'm ecstatic about the opportunity.,2
The play was spectacular!,2
I'm indifferent to her opinion.,1
The service at the restaurant was subpar.,0
The food was delectable!,2
I'm satisfied with the outcome.,2
The weather is chilly and damp.,0
The traffic was manageable.,1
I'm indifferent to the whole situation.,1
The movie was dull and uninspiring.,0
I'm excited to start my new job.,2
The concert was a letdown.,0
I'm feeling indifferent towards his response.,1
The hotel was a nightmare.,0
The food was bland and tasteless.,0
I'm thrilled with the decision.,2
The presentation was captivating and engaging.,2
I'm feeling indifferent towards her attitude.,1
The weather is warm and inviting.,2
The food was surprisingly good!,2
I'm ecstatic about the news!,2
The play was riveting!,2
I'm indifferent to his argument.,1
The hotel was disappointing.,0
I'm thrilled with the results.,2
The movie was enjoyable.,2
I'm feeling optimistic about the outcome.,2
The food was awful.,0
The lecture was informative.,1
I'm ambivalent about attending the event.,1
The service at the restaurant was terrible.,0
The beach was crowded.,0
I'm ecstatic about the news!,2
The food was mediocre.,0
I'm indifferent to his proposal.,1
The weather is perfect for a picnic.,2
I'm disappointed with the quality.,0
The performance was lackluster.,0
I'm indifferent towards his attitude.,1
The play was superb!,2
The dinner was delicious.,2
I'm feeling indifferent about the situation.,1
The movie was thrilling!,2
I'm okay with the decision.,1
The traffic was unbearable.,0
The book was disappointing.,0
I'm ambivalent about the decision.,1
The presentation was excellent.,2
The service was outstanding.,2
I'm indifferent towards her comments.,1
The weather is beautiful.,2
The food was terrible.,0
I'm ecstatic about the results!,2
The play was phenomenal!,2
I'm satisfied with the service.,2
The food was amazing!,2
I'm indifferent to her attitude.,1
The traffic was frustrating.,0
The movie was boring.,0
I'm feeling indifferent about this matter.,1
The concert was spectacular!,2
The hotel was awful.,0
The movie was captivating!,2
I'm thrilled with his performance.,2
The weather is perfect.,2
I'm indifferent towards their complaints.,1
The food was excellent!,2
The party was fantastic!,2
I'm unsatisfied with the quality.,0
The presentation was dreadful.,0
I'm indifferent to the situation.,1
The book was fascinating.,2
The traffic was unbearable.,0
I'm ecstatic about the news.,2
The concert was amazing!,2
I'm indifferent to his proposal.,1
The hotel was disappointing.,0
I'm thrilled with the results.,2
The movie was enjoyable.,2
I'm feeling optimistic about the outcome.,2
The food was awful.,0
The lecture was informative.,1
I'm ambivalent about attending the event.,1
The service at the restaurant was terrible.,0
The beach was crowded.,0
I'm ecstatic about the news.,2
The food was mediocre.,0
I'm indifferent to his proposal.,1
The weather is perfect for a picnic.,2
I'm disappointed with the quality.,0
The performance was lackluster.,0
I'm indifferent towards his attitude.,1
The play was superb!,2
The dinner was delicious.,2
I'm feeling indifferent about the situation.,1
The movie was thrilling!,2
I'm okay with the decision.,1
The traffic was unbearable.,0
The book was disappointing.,0
I'm ambivalent about the decision.,1
The presentation was excellent.,2
The service was outstanding.,2
I'm indifferent towards her comments.,1
The weather is beautiful.,2
The food was terrible.,0
I'm ecstatic about the results!,2
The play was phenomenal!,2
I'm satisfied with the service.,2
The food was amazing!,2
I'm indifferent to her attitude.,1
The traffic was frustrating.,0
The movie was boring.,0
I'm feeling indifferent about this matter.,1
The concert was spectacular!,2
The hotel was awful.,0
The movie was captivating!,2
I'm thrilled with his performance.,2
The weather is perfect.,2
"""I'm indifferent",1
The hike was invigorating and refreshing.,2
I'm neutral about the latest developments.,1
The pizza was surprisingly delicious.,2
I'm thrilled about the upcoming vacation!,2
The traffic was unexpectedly light.,2
The service at the cafe was top-notch.,2
I'm feeling uncertain about my decision.,1
The sunset was absolutely breathtaking!,2
The presentation was underwhelming and dull.,0
I'm excited for the weekend getaway.,2
The food at the party was disappointing.,0
The movie was enthralling and captivating!,2
I'm indifferent towards the current situation.,1
"The weather is gloomy, but it's cozy indoors.",0
The concert was electrifying and unforgettable!,2
I'm disappointed with the overall experience.,0
The traffic was surprisingly manageable.,1
I'm indifferent to his remarks on the matter.,1
The service at the hotel was appalling and unacceptable.,0
The book was captivating and thought-provoking.,2
I'm satisfied with my recent accomplishments.,2
The food was below average and unsatisfying.,0
The movie was a rollercoaster of emotions!,2
I'm feeling ambivalent about the upcoming changes.,1
The weather is perfect for a leisurely stroll.,2
The service at the restaurant was exceptional and commendable.,2
I'm ecstatic about the news of her engagement!,2
The play was mind-blowing and extraordinary!,2
I'm indifferent to his suggestions.,1
The food was divine and exquisite!,2
The traffic was unbearable and frustrating.,0
I'm indifferent to the latest gossip.,1
The movie was a complete waste of time and money.,0
I'm excited to embark on this new journey!,2
The concert was phenomenal and breathtaking!,2
I'm feeling indifferent towards her reaction.,1
The hotel was a pleasant surprise and exceeded expectations.,2
The food was atrocious and barely edible.,0
The lecture was engaging and informative.,2
I'm satisfied with the service provided.,2
The play was dreadful and disappointing.,0
The weather is pleasant and conducive to outdoor activities.,2
The traffic was infuriating and maddening.,0
I'm indifferent to his complaints about the issue.,1
The movie was a masterpiece of storytelling and cinematography!,2
The food was exquisite and mouthwatering!,2
I'm ecstatic about the results of the experiment!,2
The concert was awe-inspiring and magical!,2
I'm indifferent to his constant criticism.,1
The book was disappointing and failed to meet expectations.,0
I'm thrilled with her performance in the play!,2
"The weather is unpredictable, but it adds excitement.",0
The food was absolutely delicious and heavenly!,2
I'm feeling indifferent about attending the upcoming event.,1
The party was a blast and filled with laughter!,2
The presentation was mediocre and uninspiring.,0
I'm ambivalent about his proposal for the project.,1
The traffic was backed up for hours.,0
I'm ecstatic about the opportunity to travel!,2
The play was spectacular and left me in awe!,2
I'm indifferent to her opinion on the matter.,1
The service at the restaurant was subpar and disappointing.,0
The food was delectable and tantalizing!,2
I'm satisfied with the outcome of the negotiations.,2
"The weather is chilly and damp, but it's cozy indoors.",0
"The traffic was manageable, but it was still slow.",1
I'm indifferent to the whole situation and prefer not to get involved.,1
"The movie was dull and uninspiring, lacking creativity.",0
I'm excited to start my new job and meet new colleagues!,2
The concert was a letdown and failed to impress.,0
I'm feeling indifferent towards his response to the criticism.,1
The hotel was a nightmare and ruined our vacation.,0
"The food was bland and tasteless, lacking flavor.",0
I'm thrilled with the decision and can't wait to get started!,2
The presentation was captivating and held my attention throughout.,2
I'm feeling indifferent towards her attitude in the meeting.,1
"The weather is warm and inviting, perfect for outdoor activities.",2
The food was terrible and left a bad taste in my mouth.,0
I'm ecstatic about the news of her promotion!,2
The play was phenomenal and received a standing ovation!,2
I'm satisfied with the service provided by the staff.,2
The food was amazing and exceeded my expectations!,2
I'm indifferent to her attitude towards the situation.,1
The traffic was frustrating and caused delays.,0
"The movie was boring and predictable, lacking excitement.",0
I'm feeling indifferent about this matter and don't have a strong opinion.,1
The concert was spectacular and left me speechless!,2
The hotel was awful and in dire need of renovation.,0
The movie was captivating and held my attention from start to finish!,2
I'm thrilled with his performance in the play and couldn't be prouder!,2
The weather is perfect and couldn't be better.,2
I'm indifferent towards their complaints about the project.,1
The food was excellent and surpassed my expectations!,2
The party was fantastic and a night to remember!,2
I'm unsatisfied with the quality of service provided.,0
The presentation was dreadful and put me to sleep.,0
I'm indifferent to the situation and don't feel strongly about it either way.,1
The book was fascinating and kept me hooked until the end!,2
The traffic was unbearable and caused major delays.,0
I'm ecstatic about the news of their engagement!,2
"The concert was amazing and unforgettable, a night to remember!",2
I'm indifferent to his proposal for the project.,1
The hotel was disappointing and failed to meet our expectations.,0
I'm thrilled with the results of the experiment and can't wait to share them!,2
The movie was enjoyable and provided a much-needed escape from reality.,2
I'm feeling optimistic about the outcome of the negotiations.,2
The food was awful and left much to be desired.,0
The lecture was informative and provided valuable insights.,2
I'm ambivalent about attending the upcoming event and haven't decided yet.,1
The service at the restaurant was terrible and left a lot to be desired.,0
The beach was crowded and packed with tourists.,0
I'm ecstatic about the news of their wedding!,2
The food was mediocre and lacked flavor.,0
I'm indifferent to his proposal for the project and don't have a strong opinion.,1
The weather is perfect for a picnic and spending time outdoors.,2
I'm disappointed with the quality of the product and expected better.,0
The performance was lackluster and failed to impress the audience.,0
I'm indifferent towards his attitude and don't let it affect me.,1
The play was superb and received rave reviews from critics.,2
The dinner was delicious and cooked to perfection!,2
I'm feeling indifferent about the situation and prefer not to get involved.,1
The movie was thrilling and kept me on the edge of my seat!,2
I'm okay with the decision and trust that it was made for the best.,1
"""The traffic was unbearable and caused",0
I'm overjoyed with the progress we've made!,2
The traffic was unbearable and tested my patience.,0
I'm indifferent to his remarks regarding the issue.,1
The play was enthralling and left me spellbound!,2
The food was subpar and left much to be desired.,0
I'm excited for the upcoming holiday season.,2
The service at the café was exceptional and exceeded my expectations.,2
I'm feeling uncertain about my decision to move.,1
The sunset was absolutely mesmerizing and painted the sky with vibrant colors!,2
The presentation was underwhelming and failed to impress the audience.,0
I'm thrilled about the opportunity to travel abroad!,2
The food at the party was mediocre and lacked flavor.,0
The movie was enthralling and kept me on the edge of my seat throughout!,2
I'm indifferent towards the current state of affairs.,1
"The weather is gloomy, but it's perfect for staying indoors and cozying up with a book.",0
The concert was electrifying and had everyone on their feet dancing!,2
I'm disappointed with the overall experience and expected better.,0
"The traffic was surprisingly light, making my commute much easier.",2
I'm indifferent to her comments about the situation.,1
The service at the hotel was appalling and tarnished our vacation experience.,0
The book was captivating and held my attention from start to finish.,2
I'm satisfied with my recent achievements and progress.,2
The food was below average and didn't meet my expectations.,0
The movie was a rollercoaster of emotions and left me in tears!,2
I'm feeling ambivalent about the upcoming changes in our organization.,1
The weather is perfect for a leisurely stroll in the park.,2
The service at the restaurant was exceptional and made our dining experience memorable.,2
"I'm ecstatic about the news of her engagement, and I can't wait to celebrate!",2
The play was mind-blowing and left the audience in awe!,2
I'm indifferent to his suggestions regarding the project.,1
The food was divine and left me craving for more!,2
The traffic was unbearable and caused significant delays in my schedule.,0
I'm indifferent to the latest updates on social media.,1
"The movie was a complete waste of time and money, and I regret watching it.",0
I'm excited to embark on this new journey and explore new opportunities!,2
The concert was phenomenal and left a lasting impression on everyone!,2
I'm feeling indifferent towards her reaction to the news.,1
"The hotel was a pleasant surprise, and it exceeded our expectations.",2
The food was atrocious and left a bad taste in my mouth.,0
The lecture was engaging and provided valuable insights into the topic.,2
I'm satisfied with the service provided by the company.,2
The play was dreadful and failed to capture my interest.,0
The weather is pleasant and ideal for outdoor activities.,2
The traffic was infuriating and caused me to arrive late.,0
I'm indifferent to his complaints about the situation.,1
The movie was a masterpiece of storytelling and left a lasting impact on me!,2
The food was exquisite and left me wanting more!,2
"I'm ecstatic about the results of the experiment, and I can't wait to share them with everyone!",2
The concert was awe-inspiring and left me speechless!,2
I'm indifferent to his constant criticism and choose not to let it affect me.,1
The book was disappointing and failed to live up to the hype.,0
"I'm thrilled with her performance in the play, and I couldn't be prouder!",2
"The weather is unpredictable, but it adds an element of excitement to the day.",0
The food was absolutely delicious and left me craving for seconds!,2
"I'm feeling indifferent about attending the upcoming event, and I haven't made a decision yet.",1
The party was a blast and filled with laughter and joy!,2
The presentation was mediocre and failed to engage the audience.,0
"I'm ambivalent about his proposal for the project, and I'm unsure how to proceed.",1
"The traffic was backed up for hours, and it was a nightmare to navigate.",0
I'm ecstatic about the opportunity to travel and explore new cultures!,2
The play was spectacular and received rave reviews from critics and audiences alike!,2
"I'm indifferent to her opinion on the matter, and I choose to respect her viewpoint.",1
The service at the restaurant was subpar and left a lot to be desired.,0
The food was delectable and left me wanting more with each bite!,2
I'm satisfied with the outcome of the meeting and feel confident moving forward.,2
"The weather is chilly and damp, but it's perfect for cozying up by the fireplace.",0
"The traffic was manageable, but it still added to my stress levels.",1
"I'm indifferent to the whole situation, and I prefer not to get involved in the drama.",1
"The movie was dull and uninspiring, and it failed to capture my attention.",0
I'm excited to start my new job and embark on this exciting journey!,2
The concert was a letdown and failed to meet my expectations.,0
"I'm feeling indifferent towards his response to the criticism, and I choose not to dwell on it.",1
The hotel was a nightmare and ruined our vacation experience.,0
"The food was bland and tasteless, and it left much to be desired in terms of flavor.",0
The hike was exhilarating and filled me with joy.,2
I'm indifferent to the current political climate.,1
The pizza was surprisingly tasty and exceeded my expectations.,2
I'm thrilled about the opportunity to travel abroad!,2
"The traffic was surprisingly light, making my commute enjoyable.",2
The service at the café was exceptional and made my day.,2
I'm feeling uncertain about my future career path.,1
"The sunset was breathtakingly beautiful, painting the sky with vibrant hues.",2
The presentation was underwhelming and failed to engage the audience.,0
I'm excited for the weekend getaway with friends.,2
The food at the party was disappointing and lacked flavor.,0
The movie was enthralling and kept me on the edge of my seat.,2
I'm indifferent towards the recent changes in company policy.,1
"The weather is gloomy, but it's perfect for staying indoors and relaxing.",0
The concert was electrifying and left me wanting more.,2
I'm disappointed with the overall experience at the restaurant.,0
"The traffic was surprisingly light, making my commute stress-free.",2
I'm indifferent to her comments about the situation.,1
The service at the hotel was appalling and ruined our vacation.,0
The book was captivating and kept me hooked until the end.,2
I'm satisfied with my recent accomplishments and progress.,2
The food was below average and left much to be desired.,0
The movie was a rollercoaster of emotions and left me in tears.,2
I'm feeling ambivalent about the upcoming changes in my life.,1
The weather is perfect for a leisurely walk in the park.,2
The service at the restaurant was exceptional and made our dinner memorable.,2
I'm ecstatic about the news of her engagement and can't wait to celebrate!,2
The play was mind-blowing and left the audience in awe.,2
I'm indifferent to his suggestions regarding the project.,1
The food was divine and left me craving for more.,2
The traffic was unbearable and caused significant delays.,0
I'm indifferent to the latest trends in fashion.,1
The movie was a complete waste of time and money.,0
I'm excited to embark on this new adventure!,2
The concert was phenomenal and left a lasting impression.,2
I'm feeling indifferent towards her reaction to the news.,1
The hotel was a pleasant surprise and exceeded our expectations.,2
The food was atrocious and left a bad taste in my mouth.,0
The lecture was engaging and provided valuable insights.,2
I'm satisfied with the service provided by the company.,2
The play was dreadful and failed to capture my interest.,0
The weather is pleasant and perfect for outdoor activities.,2
The traffic was infuriating and caused me to miss my appointment.,0
I'm indifferent to his complaints about the situation.,1
The movie was a masterpiece of storytelling and left me speechless.,2
The food was exquisite and left me wanting more.,2
I'm ecstatic about the results of the experiment and can't wait to share them!,2
The concert was awe-inspiring and left me in awe.,2
I'm indifferent to his constant criticism and choose to ignore it.,1
The book was disappointing and failed to live up to expectations.,0
I'm thrilled with her performance in the play and couldn't be prouder!,2
"The weather is unpredictable, but it adds excitement to the day.",0
The food was absolutely delicious and left me satisfied.,2
I'm feeling indifferent about attending the upcoming event.,1
The party was a blast and filled with laughter.,2
The presentation was mediocre and failed to impress.,0
I'm ambivalent about his proposal for the project.,1
"The traffic was backed up for hours, causing frustration.",0
I'm ecstatic about the opportunity to travel and explore new cultures!,2
The play was spectacular and received rave reviews.,2
I'm indifferent to her opinion on the matter.,1
The service at the restaurant was subpar and disappointing.,0
The food was delectable and left me wanting more.,2
I'm satisfied with the outcome of the meeting.,2
"The weather is chilly and damp, but it's perfect for a cozy night in.",0
"The traffic was manageable, but it still added to my stress.",1
I'm indifferent to the whole situation and prefer not to get involved.,1
"The movie was dull and uninspiring, failing to capture my attention.",0
I'm excited to start my new job and meet my colleagues.,2
The concert was a letdown and failed to meet my expectations.,0
I'm feeling indifferent towards his response to the criticism.,1
The hotel was a nightmare and ruined our vacation.,0
"The food was bland and tasteless, lacking any flavor.",0
I'm thrilled with the decision and eager to get started.,2
The presentation was captivating and held my attention.,2
I'm feeling indifferent towards her attitude in the meeting.,1
"The weather is warm and inviting, perfect for outdoor activities.",2
The food was terrible and left much to be desired.,0
I'm ecstatic about the news of her promotion.,2
The play was phenomenal and received standing ovations.,2
I'm satisfied with the service provided by the staff.,2
The food was amazing and surpassed my expectations.,2
I'm indifferent to her attitude towards the situation.,1
The traffic was frustrating and caused delays.,0
"The movie was boring and predictable, lacking excitement.",0
I'm feeling indifferent about this matter and don't have a strong opinion.,1
The concert was spectacular and left me in awe.,2
The hotel was awful and in dire need of renovation.,0
The movie was captivating and held my attention.,2
I'm thrilled with his performance and proud of his accomplishments.,2
The weather is perfect and couldn't be better.,2
I'm indifferent towards their complaints about the project.,1
The food was excellent and exceeded my expectations.,2
The party was fantastic and unforgettable.,2
I'm unsatisfied with the quality of service provided.,0
The presentation was dreadful and put me to sleep.,0
I'm indifferent to the situation and don't feel strongly about it either way.,1
The book was fascinating and kept me engaged.,2
The traffic was unbearable and caused frustration.,0
I'm ecstatic about the news and can't wait to share it.,2
The concert was amazing and left me speechless.,2
I'm indifferent to his proposal for the project.,1
The hotel was disappointing and failed to meet our expectations.,0
I'm thrilled with the results and excited about the future.,2
